Command,Sensor Data,Experiment ID,timestamp
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E2'}","{'ch583': 7449, 'ch670': 7546, 'ch510': 4782, 'ch410': 644, 'ch620': 9916, 'ch470': 3178, 'ch550': 6472, 'ch440': 2860}",0eef03df,28:02.2
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E3'}","{'ch583': 7654, 'ch670': 7799, 'ch510': 4925, 'ch410': 664, 'ch620': 10227, 'ch470': 3275, 'ch550': 6653, 'ch440': 2949}",605adf49,28:28.7
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E4'}","{'ch583': 7974, 'ch670': 8152, 'ch510': 5144, 'ch410': 693, 'ch620': 10685, 'ch470': 3422, 'ch550': 6946, 'ch440': 3084}",f0092c85,28:54.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E5'}","{'ch583': 8382, 'ch670': 8573, 'ch510': 5413, 'ch410': 733, 'ch620': 11237, 'ch470': 3607, 'ch550': 7315, 'ch440': 3249}",44c6c5bc,29:21.0
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E6'}","{'ch583': 8538, 'ch670': 8722, 'ch510': 5515, 'ch410': 747, 'ch620': 11455, 'ch470': 3671, 'ch550': 7452, 'ch440': 3317}",338542bc,29:47.1
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E7'}","{'ch583': 8661, 'ch670': 8838, 'ch510': 5599, 'ch410': 759, 'ch620': 11622, 'ch470': 3731, 'ch550': 7564, 'ch440': 3369}",417bf98c,30:13.3
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E8'}","{'ch583': 8766, 'ch670': 8926, 'ch510': 5657, 'ch410': 767, 'ch620': 11759, 'ch470': 3773, 'ch550': 7660, 'ch440': 3413}",962b9774,30:39.4
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E9'}","{'ch583': 8875, 'ch670': 8998, 'ch510': 5715, 'ch410': 775, 'ch620': 11874, 'ch470': 3809, 'ch550': 7751, 'ch440': 3443}",e125846f,31:05.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E10'}","{'ch583': 9067, 'ch670': 9144, 'ch510': 5817, 'ch410': 792, 'ch620': 12116, 'ch470': 3877, 'ch550': 7922, 'ch440': 3497}",83c3f77e,31:31.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E11'}","{'ch583': 9185, 'ch670': 9218, 'ch510': 5857, 'ch410': 797, 'ch620': 12235, 'ch470': 3895, 'ch550': 8014, 'ch440': 3502}",3c2b7fa3,31:58.0
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E12'}","{'ch583': 9875, 'ch670': 9707, 'ch510': 6236, 'ch410': 849, 'ch620': 13026, 'ch470': 4128, 'ch550': 8598, 'ch440': 3726}",987d2dac,32:24.2
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F1'}","{'ch583': 7186, 'ch670': 7202, 'ch510': 4576, 'ch410': 615, 'ch620': 9486, 'ch470': 3028, 'ch550': 6238, 'ch440': 2713}",38c91f81,32:50.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F2'}","{'ch583': 7275, 'ch670': 7350, 'ch510': 4670, 'ch410': 627, 'ch620': 9671, 'ch470': 3099, 'ch550': 6316, 'ch440': 2792}",e2c818d3,33:16.6
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F3'}","{'ch583': 7442, 'ch670': 7574, 'ch510': 4790, 'ch410': 644, 'ch620': 9931, 'ch470': 3185, 'ch550': 6475, 'ch440': 2866}",ec6af2e7,33:43.1
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F4'}","{'ch583': 7733, 'ch670': 7894, 'ch510': 4991, 'ch410': 672, 'ch620': 10346, 'ch470': 3318, 'ch550': 6734, 'ch440': 2989}",8badfbd0,34:09.3
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F5'}","{'ch583': 8125, 'ch670': 8277, 'ch510': 5247, 'ch410': 709, 'ch620': 10884, 'ch470': 3491, 'ch550': 7083, 'ch440': 3147}",4db7b098,34:35.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F6'}","{'ch583': 8255, 'ch670': 8417, 'ch510': 5328, 'ch410': 721, 'ch620': 11067, 'ch470': 3549, 'ch550': 7204, 'ch440': 3201}",dfb0642c,35:01.6
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F7'}","{'ch583': 8374, 'ch670': 8527, 'ch510': 5407, 'ch410': 733, 'ch620': 11219, 'ch470': 3605, 'ch550': 7313, 'ch440': 3252}",8af721ba,35:28.1
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F8'}","{'ch583': 8477, 'ch670': 8599, 'ch510': 5466, 'ch410': 743, 'ch620': 11350, 'ch470': 3641, 'ch550': 7404, 'ch440': 3290}",3f5b50d7,35:54.3
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F9'}","{'ch583': 8595, 'ch670': 8682, 'ch510': 5530, 'ch410': 751, 'ch620': 11493, 'ch470': 3682, 'ch550': 7505, 'ch440': 3326}",6.26E+55,36:20.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F10'}","{'ch583': 8596, 'ch670': 8680, 'ch510': 5505, 'ch410': 748, 'ch620': 11489, 'ch470': 3669, 'ch550': 7512, 'ch440': 3293}",65fe2aa8,36:46.6
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F11'}","{'ch583': 9082, 'ch670': 9038, 'ch510': 5776, 'ch410': 786, 'ch620': 12051, 'ch470': 3834, 'ch550': 7919, 'ch440': 3453}",3b9d07dc,37:12.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F12'}","{'ch583': 9606, 'ch670': 9410, 'ch510': 6053, 'ch410': 824, 'ch620': 12646, 'ch470': 4002, 'ch550': 8358, 'ch440': 3608}",5ff708fd,37:39.2
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G1'}","{'ch583': 6810, 'ch670': 6841, 'ch510': 4342, 'ch410': 583, 'ch620': 8999, 'ch470': 2873, 'ch550': 5914, 'ch440': 2560}",cc8bd351,38:05.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G2'}","{'ch583': 6876, 'ch670': 6956, 'ch510': 4417, 'ch410': 593, 'ch620': 9134, 'ch470': 2932, 'ch550': 5980, 'ch440': 2622}",24628886,38:31.8
